Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy,Label
434250,1,0.32,-2.4,53,Fall
434450,1,0.81,0.03,65,No Fall
434650,1,1.3,-3.83,61,No Fall
434850,1,0.93,-3.79,50,No Fall
435050,1,0.37,-3.77,50,No Fall
435250,1,1.5,-3.84,41,No Fall
435450,1,1.5,0.05,51,No Fall
435650,1,1.5,-3.84,58,No Fall
435850,1,1.12,-3.8,68,No Fall
436050,1,0.62,-3.78,41,No Fall
436250,1,0.83,0.05,56,No Fall
436450,1,1.04,-1.93,40,No Fall
436650,1,0.89,-2.9,41,No Fall
436850,1,0.57,-2.12,45,No Fall
437050,1,0.62,0.09,56,No Fall
437250,1,0.68,0.08,60,No Fall
437450,1,0.73,-0.17,88,No Fall
437650,1,0.7,0.04,82,Fall
437850,1,0.67,0.08,65,Fall
438050,1,0.64,0.08,83,Fall
438250,1,0.61,0.07,96,Fall
438450,1,0.58,0.1,52,Fall
438650,1,0.55,0.07,100,Fall
438850,1,0.52,0.0,72,Fall
439050,1,0.68,-1.3,45,Fall
439250,1,0.58,-0.7,65,No Fall
439450,1,0.53,-0.43,44,No Fall
439650,1,0.51,-0.28,49,No Fall
439850,1,0.5,-0.18,48,No Fall
440050,1,0.49,-0.12,46,No Fall
440250,1,1.49,-3.84,45,No Fall
440450,1,1.12,-3.81,50,No Fall
440650,1,0.56,-3.79,40,No Fall
440850,1,0.34,-3.68,45,No Fall
441050,1,0.82,0.06,78,No Fall
441250,1,1.31,-3.83,74,No Fall
441450,1,0.96,-3.79,50,No Fall
441650,1,0.48,-3.73,74,No Fall
441850,1,0.72,0.06,75,No Fall
442050,1,0.97,-1.93,60,No Fall
442250,1,0.66,-0.92,44,No Fall
442450,1,0.57,-0.54,54,No Fall
442650,1,0.53,-0.34,49,No Fall
442850,1,0.52,-0.22,57,No Fall
443050,1,0.56,-0.12,43,No Fall
443250,1,0.56,-0.09,42,No Fall
443450,1,1.31,-3.83,72,No Fall
443650,1,0.93,-3.79,89,No Fall
443850,1,0.57,-3.74,52,No Fall
692850,1,0.59,0.0,66,Fall
693050,1,0.62,0.01,51,Fall
693250,1,0.65,0.01,50,Fall
693450,1,0.67,0.02,41,Fall
693650,1,0.69,0.02,40,Fall
693850,1,0.7,0.02,40,Fall
694050,1,1.6,-3.81,40,Fall
694250,1,1.33,-3.74,40,Fall
694450,1,2.19,-3.69,40,No Fall
694650,1,1.6,-3.76,40,No Fall
694850,1,1.31,-3.73,40,No Fall
695050,1,0.73,-3.7,61,No Fall
695250,1,0.57,-3.58,40,No Fall
695450,1,0.28,-3.51,40,No Fall
695650,1,1.52,-3.84,41,No Fall
695850,1,1.0,-2.5,41,No Fall
696050,1,0.8,-2.82,40,No Fall
696250,1,0.76,-3.11,40,No Fall
696450,1,0.45,-3.14,40,No Fall
696650,1,0.26,-3.22,52,No Fall
696850,1,2.21,-3.84,40,No Fall
697050,1,1.65,-3.83,40,No Fall
697250,1,1.29,-3.78,45,No Fall
697450,1,1.07,-3.69,40,No Fall
697650,1,0.7,-3.64,40,No Fall
697850,1,0.43,-3.55,40,No Fall
698050,1,1.15,0.09,70,No Fall
698250,1,1.87,1.2,40,No Fall
698450,1,1.17,0.99,49,No Fall
698650,1,1.05,0.52,60,No Fall
698850,1,1.06,0.41,51,No Fall
699050,1,0.99,0.06,62,No Fall
699250,1,0.92,0.08,60,No Fall
699450,1,0.84,0.1,88,No Fall
699650,1,0.77,0.24,98,No Fall
699850,1,0.78,0.16,62,No Fall
700050,1,0.79,0.09,44,No Fall
700250,1,0.85,-0.56,41,No Fall
700450,1,0.8,-0.37,45,No Fall
700650,1,0.66,-0.94,40,No Fall
700850,1,0.46,-1.44,40,No Fall
701050,1,0.33,-2.09,40,No Fall
701250,1,0.92,0.09,77,No Fall
701450,1,1.52,-3.84,81,No Fall
701650,1,1.12,-3.8,40,No Fall
701850,1,0.96,-3.7,90,No Fall
702050,1,0.83,-3.64,40,No Fall
702250,1,0.7,-3.57,40,No Fall
702450,1,0.48,-3.51,82,No Fall
702650,1,0.29,-3.42,40,No Fall
702850,1,2.23,-3.84,40,No Fall
703050,1,1.74,-3.82,40,No Fall
703250,1,1.39,-3.77,40,No Fall
703450,1,1.02,-3.71,40,No Fall
703650,1,0.7,-3.62,40,No Fall
703850,1,0.34,-3.57,49,No Fall
704050,1,2.23,-3.84,40,Fall
704250,1,1.82,-3.82,40,Fall
704450,1,1.32,-2.9,40,Fall
704650,1,1.06,-2.54,40,Fall
704850,1,1.0,0.01,91,Fall
705050,1,0.93,0.1,87,Fall
705250,1,0.86,0.08,86,Fall
705450,1,0.8,-0.11,44,Fall
705650,1,0.95,-1.96,50,Fall
705850,1,0.78,-1.22,42,Fall
706050,1,0.73,-0.64,41,Fall
706250,1,0.8,0.02,85,Fall
706450,1,0.86,0.05,85,Fall
706650,1,0.93,0.03,68,Fall
706850,1,1.0,0.01,42,Fall
707050,1,0.88,0.07,85,Fall
707250,1,0.75,0.02,45,No Fall
707450,1,1.5,0.09,41,No Fall
707650,1,1.76,0.1,41,No Fall
707850,1,1.62,-0.71,40,No Fall
708050,1,1.39,-1.07,40,No Fall
708250,1,1.14,-1.54,40,No Fall
708450,1,0.82,-2.26,40,No Fall
708650,1,0.8,0.04,66,No Fall
708850,1,0.78,0.02,74,No Fall
